2025-01-01,创,`1-5`,读一遍
2025-01-02,创,`6-10`,读一遍
2025-01-03,创,`7-15`,读一遍
2025-01-04,创,`16-20`,读一遍
2025-01-05,创,`21-25`,读一遍
2025-01-06,创,`26-30`,读一遍
2025-01-07,创,`31-35`,读一遍
2025-01-08,创,`36-40`,读一遍
2025-01-09,创,`41-45`,读一遍
2025-01-10,创,`46-50`,读一遍
2025-01-11,太,`1-4`,读一遍
2025-01-12,太,`5-8`,读一遍
2025-01-13,太,`9-12`,读一遍
2025-01-14,太,`13-16`,读一遍
2025-01-15,太,`17-20`,读一遍
2025-01-16,太,`21-24`,读一遍
2025-01-17,太,`25-28`,读一遍
2025-01-18,出,`1-5`,读一遍
2025-01-19,出,`6-10`,读一遍
2025-01-20,出,`11-15`,读一遍
2025-01-21,出,`16-20`,读一遍
2025-01-22,出,`21-25`,读一遍
2025-01-23,出,`26-30`,读一遍
2025-01-24,出,`31-35`,读一遍
2025-01-25,出,`36-40`,读一遍
2025-01-26,可,`1-4`,读一遍
2025-01-27,可,`5-8`,读一遍
2025-01-28,可,`9-12`,读一遍
2025-01-29,可,`13-16`,读一遍
2025-01-30,利,`1-3`,读一遍
2025-01-31,利,`4-6`,读一遍
2025-02-01,利,`7-9`,读一遍
2025-02-02,利,`10-12`,读一遍
2025-02-03,利,`13-15`,读一遍
2025-02-04,利,`16-18`,读一遍
2025-02-05,利,`19-21`,读一遍
2025-02-06,利,`22-24`,读一遍
2025-02-07,利,`25-27`,读一遍
2025-02-08,路,`1-3`,读一遍
2025-02-09,路,`4-6`,读一遍
2025-02-10,路,`7-9`,读一遍
2025-02-11,路,`10-12`,读一遍
2025-02-12,路,`13-15`,读一遍
2025-02-13,路,`16-18`,读一遍
2025-02-14,路,`19-21`,读一遍
2025-02-15,路,`22-24`,读一遍
2025-02-16,民,`1-4`,读一遍
2025-02-17,民,`5-9`,读一遍
2025-02-18,民,`10-13`,读一遍
2025-02-19,民,`14-18`,读一遍
2025-02-20,民,`19-22`,读一遍
2025-02-21,民,`23-27`,读一遍
2025-02-22,民,`28-31`,读一遍
2025-02-23,民,`32-36`,读一遍
2025-02-24,约,`1-3`,读一遍
2025-02-25,约,`4-6`,读一遍
2025-02-26,约,`7-9`,读一遍
2025-02-27,约,`10-12`,读一遍
2025-02-28,约,`13-15`,读一遍
2025-03-01,约,`16-18`,读一遍
2025-03-02,约,`19-21`,读一遍
2025-03-03,申,`1-4`,读一遍
2025-03-04,申,`5-8`,读一遍
2025-03-05,申,`9-12`,读一遍
2025-03-06,申,`13-16`,读一遍
2025-03-07,申,`17-20`,读一遍
2025-03-08,申,`21-24`,读一遍
2025-03-09,申,`25-29`,读一遍
2025-03-10,申,`30-34`,读一遍
2025-03-11,徒,`1-4`,读一遍
2025-03-12,徒,`5-8`,读一遍
2025-03-13,徒,`9-12`,读一遍
2025-03-14,徒,`13-16`,读一遍
2025-03-15,徒,`17-20`,读一遍
2025-03-16,徒,`21-24`,读一遍
2025-03-17,徒,`25-28`,读一遍
2025-03-18,书,`1-3`,读一遍
2025-03-19,书,`4-6`,读一遍
2025-03-20,书,`7-9`,读一遍
2025-03-21,书,`10-12`,读一遍
2025-03-22,书,`13-15`,读一遍
2025-03-23,书,`16-18`,读一遍
2025-03-24,书,`19-21`,读一遍
2025-03-25,书,`22-24`,读一遍
2025-03-26,罗,`1`,读三遍
2025-03-27,罗,`2`,读三遍
2025-03-28,罗,`3`,读三遍
2025-03-29,罗,`4-5`,读三遍
2025-03-30,罗,`6-7`,读三遍
2025-03-31,罗,`8`,读三遍
2025-04-01,罗,`9`,读三遍
2025-04-02,罗,`10`,读三遍
2025-04-03,罗,`11`,读三遍
2025-04-04,罗,`12-13`,读三遍
2025-04-05,罗,`14`,读三遍
2025-04-06,罗,`15-16`,读三遍
2025-04-07,士,`1-3`,读一遍
2025-04-08,士,`4-6`,读一遍
2025-04-09,士,`7-9`,读一遍
2025-04-10,士,`10-12`,读一遍
2025-04-11,士,`13-15`,读一遍
2025-04-12,士,`16-18`,读一遍
2025-04-13,士,`19-21`,读一遍
2025-04-14,得,`1-4`,读一遍
2025-04-15,林前,`1`,读三遍
2025-04-16,林前,`2-3`,读三遍
2025-04-17,林前,`4-5`,读三遍
2025-04-18,林前,`6`,读三遍
2025-04-19,林前,`7`,读三遍
2025-04-20,林前,`8-9`,读三遍
2025-04-21,林前,`10`,读三遍
2025-04-22,林前,`11`,读三遍
2025-04-23,林前,`12-13`,读三遍
2025-04-24,林前,`14`,读三遍
2025-04-25,林前,`15`,读三遍
2025-04-26,林前,`16`,读三遍
2025-04-27,撒上,`1-4`,读一遍
2025-04-28,撒上,`5-8`,读一遍
2025-04-29,撒上,`9-12`,读一遍
2025-04-30,撒上,`13-16`,读一遍
2025-05-01,撒上,`17-20`,读一遍
2025-05-02,撒上,`21-24`,读一遍
2025-05-03,撒上,`25-28`,读一遍
2025-05-04,撒上,`29-31`,读一遍
2025-05-05,林后,`1`,读三遍
2025-05-06,林后,`2-3`,读三遍
2025-05-07,林后,`4-5`,读三遍
2025-05-08,林后,`6-7`,读三遍
2025-05-09,林后,`8-9`,读三遍
2025-05-10,林后,`10`,读三遍
2025-05-11,林后,`11`,读三遍
2025-05-12,林后,`12-13`,读三遍
2025-05-13,撒下,`1-3`,读一遍
2025-05-14,撒下,`4-6`,读一遍
2025-05-15,撒下,`7-9`,读一遍
2025-05-16,撒下,`10-12`,读一遍
2025-05-17,撒下,`13-15`,读一遍
2025-05-18,撒下,`16-18`,读一遍
2025-05-19,撒下,`19-21`,读一遍
2025-05-20,撒下,`22-24`,读一遍
2025-05-21,加,`1-2`,读三遍
2025-05-22,加,`3`,读三遍
2025-05-23,加,`4`,读三遍
2025-05-24,加,`5-6`,读三遍
2025-05-25,王上,`1-3`,读一遍
2025-05-26,王上,`4-6`,读一遍
2025-05-27,王上,`7-9`,读一遍
2025-05-28,王上,`10-12`,读一遍
2025-05-29,王上,`13-15`,读一遍
2025-05-30,王上,`16-18`,读一遍
2025-05-31,王上,`19-20`,读一遍
2025-06-01,王上,`21-22`,读一遍
2025-06-02,弗,`1`,读三遍
2025-06-03,弗,`2-3`,读三遍
2025-06-04,弗,`4`,读三遍
2025-06-05,弗,`5-6`,读三遍
2025-06-06,王下,`1-3`,读一遍
2025-06-07,王下,`4-6`,读一遍
2025-06-08,王下,`7-9`,读一遍
2025-06-09,王下,`10-12`,读一遍
2025-06-10,王下,`13-15`,读一遍
2025-06-11,王下,`16-18`,读一遍
2025-06-12,王下,`19-21`,读一遍
2025-06-13,王下,`22-25`,读一遍
2025-06-14,腓,`1`,读三遍
2025-06-15,腓,`2`,读三遍
2025-06-16,腓,`3`,读三遍
2025-06-17,腓,`4`,读三遍
2025-06-18,代上,`1-3`,读一遍
2025-06-19,代上,`4-7`,读一遍
2025-06-20,代上,`8-10`,读一遍
2025-06-21,代上,`11-14`,读一遍
2025-06-22,代上,`15-17`,读一遍
2025-06-23,代上,`18-21`,读一遍
2025-06-24,代上,`22-25`,读一遍
2025-06-25,代上,`26-29`,读一遍
2025-06-26,西,`1`,读三遍
2025-06-27,西,`2`,读三遍
2025-06-28,西,`3-4`,读三遍
2025-06-29,门,`1`,读三遍
2025-06-30,代下,`1-4`,读一遍
2025-07-01,代下,`5-9`,读一遍
2025-07-02,代下,`10-13`,读一遍
2025-07-03,代下,`14-18`,读一遍
2025-07-04,代下,`19-22`,读一遍
2025-07-05,代下,`23-27`,读一遍
2025-07-06,代下,`28-31`,读一遍
2025-07-07,代下,`32-36`,读一遍
2025-07-08,帖前,`1-2`,读三遍
2025-07-09,帖前,`3`,读三遍
2025-07-10,帖前,`4`,读三遍
2025-07-11,帖前,`5`,读三遍
2025-07-12,拉,`1-3`,读一遍
2025-07-13,拉,`4-6`,读一遍
2025-07-14,拉,`7-10`,读一遍
2025-07-15,帖后,`1`,读三遍
2025-07-16,帖后,`2`,读三遍
2025-07-17,帖后,`3`,读三遍
2025-07-18,尼,`1-3`,读一遍
2025-07-19,尼,`4-6`,读一遍
2025-07-20,尼,`7-9`,读一遍
2025-07-21,尼,`10-13`,读一遍
2025-07-22,提前,`1`,读三遍
2025-07-23,提前,`2-3`,读三遍
2025-07-24,提前,`4`,读三遍
2025-07-25,提前,`5`,读三遍
2025-07-26,提前,`6`,读三遍
2025-07-27,斯,`1-3`,读一遍
2025-07-28,斯,`4-6`,读一遍
2025-07-29,斯,`7-10`,读一遍
2025-07-30,提后,`1`,读三遍
2025-07-31,提后,`2`,读三遍
2025-08-01,提后,`3`,读三遍
2025-08-02,提后,`4`,读三遍
2025-08-03,伯,`1-3`,读一遍
2025-08-04,伯,`4-7`,读一遍
2025-08-05,伯,`8-10`,读一遍
2025-08-06,伯,`11-14`,读一遍
2025-08-07,伯,`15-17`,读一遍
2025-08-08,伯,`18-19`,读一遍
2025-08-09,伯,`20-21`,读一遍
2025-08-10,伯,`22-24`,读一遍
2025-08-11,伯,`25-27`,读一遍
2025-08-12,伯,`28-31`,读一遍
2025-08-13,伯,`32-34`,读一遍
2025-08-14,伯,`35-37`,读一遍
2025-08-15,伯,`38-42`,读一遍
2025-08-16,多,`1`,读三遍
2025-08-17,多,`2`,读三遍
2025-08-18,多,`3`,读三遍
2025-08-19,诗,`1-10`,读一遍
2025-08-20,诗,`11-20`,读一遍
2025-08-21,诗,`21-30`,读一遍
2025-08-22,诗,`31-40`,读一遍
2025-08-23,诗,`41-50`,读一遍
2025-08-24,诗,`51-60`,读一遍
2025-08-25,诗,`61-70`,读一遍
2025-08-26,诗,`71-80`,读一遍
2025-08-27,诗,`81-90`,读一遍
2025-08-28,诗,`91-100`,读一遍
2025-08-29,诗,`101-110`,读一遍
2025-08-30,诗,`111-120`,读一遍
2025-08-31,诗,`121-130`,读一遍
2025-09-01,诗,`131-140`,读一遍
2025-09-02,诗,`141-150`,读一遍
2025-09-03,来,`1-3`,读一遍
2025-09-04,来,`4-6`,读一遍
2025-09-05,来,`7-9`,读一遍
2025-09-06,来,`10-13`,读一遍
2025-09-07,箴,`1-3`,慢读
2025-09-08,箴,`4-6`,慢读
2025-09-09,箴,`7-9`,慢读
2025-09-10,箴,`10-12`,慢读
2025-09-11,箴,`13-15`,慢读
2025-09-12,箴,`16-18`,慢读
2025-09-13,箴,`19-21`,慢读
2025-09-14,箴,`22-24`,慢读
2025-09-15,箴,`25-28`,慢读
2025-09-16,箴,`29-31`,慢读
2025-09-17,雅,`1`,读三遍
2025-09-18,雅,`2`,读三遍
2025-09-19,雅,`3`,读三遍
2025-09-20,雅,`4`,读三遍
2025-09-21,雅,`5`,读三遍
2025-09-22,传,`1-4`,读一遍
2025-09-23,传,`5-8`,读一遍
2025-09-24,传,`9-12`,读一遍
2025-09-25,歌,`1-4`,读一遍
2025-09-26,歌,`5-8`,读一遍
2025-09-27,彼前,`1`,读三遍
2025-09-28,彼前,`2`,读三遍
2025-09-29,彼前,`3`,读三遍
2025-09-30,彼前,`4`,读三遍
2025-10-01,彼前,`5`,读三遍
2025-10-02,赛,`1-4`,读一遍
2025-10-03,赛,`5-8`,读一遍
2025-10-04,赛,`9-12`,读一遍
2025-10-05,赛,`13-16`,读一遍
2025-10-06,赛,`17-20`,读一遍
2025-10-07,赛,`21-24`,读一遍
2025-10-08,赛,`25-28`,读一遍
2025-10-09,赛,`29-32`,读一遍
2025-10-10,赛,`33-36`,读一遍
2025-10-11,赛,`37-40`,读一遍
2025-10-12,赛,`41-44`,读一遍
2025-10-13,赛,`45-48`,读一遍
2025-10-14,赛,`49-52`,读一遍
2025-10-15,赛,`53-56`,读一遍
2025-10-16,赛,`57-61`,读一遍
2025-10-17,赛,`62-66`,读一遍
2025-10-18,彼后,`1`,读三遍
2025-10-19,彼后,`2`,读三遍
2025-10-20,彼后,`3`,读三遍
2025-10-21,耶,`1-3`,读一遍
2025-10-22,耶,`4-6`,读一遍
2025-10-23,耶,`7-9`,读一遍
2025-10-24,耶,`10-12`,读一遍
2025-10-25,耶,`13-15`,读一遍
2025-10-26,耶,`16-18`,读一遍
2025-10-27,耶,`19-21`,读一遍
2025-10-28,耶,`22-24`,读一遍
2025-10-29,耶,`25-27`,读一遍
2025-10-30,耶,`28-30`,读一遍
2025-10-31,耶,`31-33`,读一遍
2025-11-01,耶,`34-36`,读一遍
2025-11-02,耶,`37-39`,读一遍
2025-11-03,耶,`40-42`,读一遍
2025-11-04,耶,`43-45`,读一遍
2025-11-05,耶,`46-48`,读一遍
2025-11-06,耶,`49-52`,读一遍
2025-11-07,哀,`1-2`,读一遍
2025-11-08,哀,`3-5`,读一遍
2025-11-09,约壹,`1`,读三遍
2025-11-10,约壹,`2`,读三遍
2025-11-11,约壹,`3`,读三遍
2025-11-12,约壹,`4`,读三遍
2025-11-13,约壹,`5`,读三遍
2025-11-14,结,`1-4`,读一遍
2025-11-15,结,`5-8`,读一遍
2025-11-16,结,`9-12`,读一遍
2025-11-17,结,`13-16`,读一遍
2025-11-18,结,`17-20`,读一遍
2025-11-19,结,`21-24`,读一遍
2025-11-20,结,`25-28`,读一遍
2025-11-21,结,`29-32`,读一遍
2025-11-22,结,`33-36`,读一遍
2025-11-23,结,`37-40`,读一遍
2025-11-24,结,`41-44`,读一遍
2025-11-25,结,`45-48`,读一遍
2025-11-26,约贰,`1`,读三遍
2025-11-27,约叁,`1`,读三遍
2025-11-28,犹,`1`,读三遍
2025-11-29,但,`1-3`,读一遍
2025-11-30,但,`4-6`,读一遍
2025-12-01,但,`7-9`,读一遍
2025-12-02,但,`10-12`,读一遍
2025-12-03,何,`1-5`,读一遍
2025-12-04,何,`6-10`,读一遍
2025-12-05,何,`11-14`,读一遍
2025-12-06,珥,`1-3`,读一遍
2025-12-07,摩,`1-3`,读一遍
2025-12-08,摩,`4-6`,读一遍
2025-12-09,摩,`7-9`,读一遍
2025-12-10,俄,`1`,读一遍
2025-12-11,拿,`1-4`,读一遍
2025-12-12,弥,`1-3`,读一遍
2025-12-13,弥,`4-6`,读一遍
2025-12-14,哈,`1-3`,读一遍
2025-12-15,番,`1-3`,读一遍
2025-12-16,该,`1-2`,读一遍
2025-12-17,亚,`1-3`,读一遍
2025-12-18,亚,`4-6`,读一遍
2025-12-19,亚,`7-9`,读一遍
2025-12-20,亚,`10-12`,读一遍
2025-12-21,亚,`13-14`,读一遍
2025-12-22,玛,`1-4`,读一遍
2025-12-23,启,`1-5`,读一遍
2025-12-24,启,`6-11`,读一遍
2025-12-25,启,`12-16`,读一遍
2025-12-26,启,`17-22`,读一遍
2025-12-27,完成,`!!!`,再接再厉
2025-12-28,完成,`!!!`,再接再厉
2025-12-29,完成,`!!!`,再接再厉
2025-12-30,完成,`!!!`,再接再厉
2025-12-31,完成,`!!!`,再接再厉
